,Product Name,Product Capacity,Product Rating,No Of Users Rated,Actual Price,Current Price,Discount
0,Kutchina Adora Rice Cooker 1.5 litre | Electric Cooker Non Stick Aluminum Inner Pot | Electric Rice Cooker with Steaming Feature,"1.5 L, Purple",4,"1,022","3,149","2,099",33%
1,V-Guard VRC 2.8 C Electric Rice Cooker with Steaming Feature,"2.8 L, Blue | 2 Year Warranty",4.2,"1,235","4,999","3,299",34%
2,V-Guard VRCD 1.8 EL Electric Rice Cooker with Steaming Feature,"1.8 L, Red",4.2,"1,235","4,490","2,399",46%
3,"Pigeon JOY SINGLE POT 
AUTOMATIC MULTI COOKER WARMER Electric Rice Cooker with Steaming Feature","1 L, White",4,"17,398","1,870","1,099",41%
4,THEODORE Multifunction Portable Electric Pot/Mini Cooker for Travel/Hostel Electric Rice Cooker with Steaming Feature,"1.5 L, Multicolor",3.5,"1,047",999,519,48%
5,Pigeon joy (with ss lid) - 1.8 l (single pot) Electric Rice Cooker with Steaming Feature,"1.8 L, White",4,"14,612","2,149","1,499",30%
6,BAJAJ Majesty New RCX 3 Electric Rice Cooker,"1.5 L, White",4,"40,163","2,725","1,699",37%
7,Prestige Atlas Delight Electric Rice Cooker,"1.8 L, Blue",3.9,"21,152","2,795","1,799",35%
8,Prestige Atlas Delight Electric Rice Cooker,"1.5 L, Blue",3.9,"21,152","2,595","1,899",26%
9,Prestige PRWO 1.8-2 Electric Rice Cooker with Steaming Feature,"1.8 L, White",4,"13,987","3,195","2,299",28%
10,BAJAJ RCX 1.8 DLX Electric Rice Cooker,"1.8 L, White",4,"40,163","2,257","1,799",20%
11,V-Guard VRC 1.8C Electric Rice Cooker,"1.8 L, White",4.2,"1,235","3,945","2,399",39%
12,Flipkart SmartBuy Classic Electric Rice Cooker,"1 L, Navy Blue, White",4,"10,088","1,949","1,299",33%
13,THEODORE Electric Multifunction Cooking Pot 1.5 Litre Multi-Purpose Cooker Electric Rice Cooker,"1.5 L, Blue",3.4,480,999,549,45%
14,"AGARO Royal Electric Rice Cooker, Ceramic Coated Inner Bowl, Electric Rice Cooker","5 L, Silver",4,214,"5,990","3,899",34%
15,Greenchef Carlo Ace Single Pot Electric Rice Cooker,"1.8 L, Red",3.9,957,"3,499","1,399",60%
16,Kenstar MY COOK 2.0 Electric Rice Cooker with Steaming Feature,"2 L, RED & GREY",4.1,530,"5,990","1,699",71%
17,Panasonic SR-WA10E Electric Rice Cooker,"1 L, Black",4,"1,500","2,299","1,699",26%
18,"CREATION BAZAAR Cooking Pot Noodle Maker Egg Boiler hot Pot Vegetable Rice Cooker, Travel Cooker, Egg Cooker","1.5 L, Multicolor",3.9,609,"2,999",872,70%
19,Prestige PRWO 2.8-2 Electric Rice Cooker with Steaming Feature,"2.8 L, White",4.1,"5,619","5,245","3,099",40%
20,Pigeon 19004404 Electric Rice Cooker,"0.6 L, White",3.2,5,"2,545","1,399",45%
21,Kenstar MY COOK 2.0 Electric Rice Cooker with Steaming Feature,"2 L, ORANGE & GREY",4.1,530,"5,990","1,699",71%
22,Panasonic SR-WA22H(E) Electric Rice Cooker,"2.2 L, Green",4,"9,409","3,045","2,599",14%
23,Panasonic SRG06 Electric Rice Cooker,"1.5 L, White",3.2,12,.0,"2,995",0%
24,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W176 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.82099999999999 L, Blue, Pink",0.0,0.0,899,699,22%
25,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W238 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.85399999999998 L, Blue, Pink",0.0,0.0,899,699,22%
26,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W230 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.84799999999998 L, Blue, Pink",0.0,0.0,899,699,22%
27,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W146 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.81099999999999 L, Blue, Pink",0.0,0.0,899,699,22%
28,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W132 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.77099999999999 L, Blue, Pink",0.0,0.0,899,699,22%
29,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W278 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.718 L, Blue, Pink",0.0,0.0,899,699,22%
30,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W254 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.705 L, Blue, Pink",0.0,0.0,899,699,22%
31,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W312 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.739 L, Blue, Pink",0.0,0.0,899,699,22%
32,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W108 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.709 L, Blue, Pink",0.0,0.0,899,699,22%
33,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W315 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.742 L, Blue, Pink",0.0,0.0,899,699,22%
34,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W18 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.83499999999999 L, Blue, Pink",0.0,0.0,899,699,22%
35,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W183 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.82199999999999 L, Blue, Pink",0.0,0.0,899,699,22%
36,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W71 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.79299999999999 L, Blue, Pink",0.0,0.0,899,699,22%
37,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W363 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.76699999999999 L, Blue, Pink",0.0,0.0,899,699,22%
38,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W225 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.84599999999998 L, Blue, Pink",0.0,0.0,899,699,22%
39,"WAIRIT Electric Mini Cooker Steamer Cook pots for Cook Noodles/hot Pot/Rice Maker W308 Rice Cooker, Egg Cooker, Egg Boiler, Deep Fryer, Electric Pressure Cooker, Travel Cooker","1.738 L, Blue, Pink",0.0,0.0,899,699,22%
